YEAR    DECJAN  JANFEB  FEBMAR  MARAPR  APRMAY  MAYJUN  JUNJUL  JULAUG  AUGSEP  SEPOCT  OCTNOV  NOVDEC
2002	-.05	-.21	-.201	.339	.78	.864	.596	.922	.808	.952	1.059	1.11
2003	1.184	.927	.819	.308	.05	.033	.089	.241	.441	.509	.519	.315
2004	.308	.33	-.125	.216	.472	.19	.472	.669	.524	.467	.786	.643
2005	.301	.799	1.018	.559	.758	.499	.492	.321	.255	-.166	-.407	-.585
2006	-.471	-.455	-.591	-.688	-.034	.564	.628	.759	.793	.892	1.292	.951
2007	.974	.51	.074	-.049	.187	-.331	-.29	-.44	-1.162	-1.142	-1.177	-1.168
2008	-1.011	-1.402	-1.635	-.942	-.353	.136	.003	-.266	-.643	-.78	-.621	-.666
2009	-.752	-.719	-.719	-.159	.37	.943	.938	.944	.764	1.02	1.062	1.008
2010	1.153	1.52	1.386	.863	.577	-.433	-1.166	-1.822	-2.03	-1.946	-1.602	-1.579
2011	-1.678	-1.562	-1.562	-1.492	-.322	-.169	-.087	-.472	-.764	-.965	-.978	-.978
2012	-1.045	-.706	-.417	.058	.706	.903	1.139	.579	.271	.103	.166	.037
2013	.042	-.163	-.171	.009
